basho,rank,rikishi,shusshin,weight_pounds,height_feet,height_feet_floor,height_inches_remainder,age,age_floor,country,count
2004.01,3,Chiyotaikai,Japan,341.775,5.93832021,5,11.25984252,27.65753425,27,Japan,2
2004.01,9,Wakanosato,Japan,338.0265,6.085958005,6,1.031496063,27.46027397,27,Japan,3
2004.01,12,Iwakiyama,Japan,382.5675,6.069553806,6,0.834645669,27.81643836,27,Japan,4
2004.01,14,Takamisakari,Japan,296.793,6.184383202,6,2.212598425,27.62191781,27,Japan,5
2004.01,17,Kotomitsuki,Japan,323.4735,5.971128609,5,11.65354331,27.70684932,27,Japan,6
2004.01,25,Jumonji,Japan,330.75,6.085958005,6,1.031496063,27.54520548,27,Japan,7
2004.01,27,Kinkaiyama,Japan,343.98,6.036745407,6,0.440944882,27.96438356,27,Japan,8
2004.01,35,Takanowaka,Japan,335.16,6.266404199,6,3.196850394,27.73150685,27,Japan,9
2004.01,19,Kasuganishiki,Japan,322.5915,6.151574803,6,1.818897638,28.34246575,28,Japan,1
2004.01,42,Hayateumi,Japan,261.954,6.069553806,6,0.834645669,28.4739726,28,Japan,2
2004.01,8,Tochinonada,Japan,355.887,6.167979003,6,2.015748031,29.82739726,29,Japan,1
2004.01,10,Toki,Japan,375.732,6.217191601,6,2.606299213,29.47671233,29,Japan,2
2004.01,20,Dejima,Japan,351.6975,5.971128609,5,11.65354331,29.76438356,29,Japan,4
2004.01,31,Tochisakae,Japan,343.7595,6.069553806,6,0.834645669,29.49589041,29,Japan,5
2004.01,37,Buyuzan,Japan,348.831,5.93832021,5,11.25984252,29.40821918,29,Japan,6
2004.01,15,Kyokutenho,Mongolia,318.6225,6.25,6,3,29.28219178,29,Mongolia,3
2004.01,16,Tokitsuumi,Japan,296.1315,6.053149606,6,0.637795276,30.12876712,30,Japan,2
2004.01,30,Yotsukasa,Japan,329.868,5.839895013,5,10.07874016,30.24931507,30,Japan,3
2004.01,39,Kaiho,Japan,272.7585,5.823490814,5,9.881889764,30.69041096,30,Japan,4
2004.01,13,Kyokushuzan,Mongolia,318.402,5.93832021,5,11.25984252,30.8,30,Mongolia,1
2004.01,4,Kaio,Japan,379.26,6.053149606,6,0.637795276,31.42191781,31,Japan,1
2004.01,5,Musoyama,Japan,378.1575,6.036745407,6,0.440944882,31.86027397,31,Japan,2
2004.01,6,Tosanoumi,Japan,354.3435,6.085958005,6,1.031496063,31.85479452,31,Japan,3
2004.01,26,Kotoryu,Japan,312.0075,5.971128609,5,11.65354331,31.81643836,31,Japan,4
